Running on host gpu011
Using 8 Julia threads
Starting at Thu Apr  2 10:27:30 CEST 2026
Loading Modules
Finished Loading Modules
Running Lux_AE_train.jl

Training AE for 1000 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 96/1000 | time=1.372s | train_loss=1.1936 | train_corr=(0.57, 0.237) | val_loss=1.1871 | val_corr=(0.577, 0.239) | test_loss=1.1846 | test_corr=(0.576, 0.241)
Epoch 97/1000 | time=1.39s | train_loss=1.1876 | train_corr=(0.578, 0.232) | val_loss=1.2191 | val_corr=(0.576, 0.241) | test_loss=1.2164 | test_corr=(0.575, 0.242)
Epoch 98/1000 | time=1.381s | train_loss=1.229 | train_corr=(0.574, 0.24) | val_loss=1.2043 | val_corr=(0.576, 0.239) | test_loss=1.2015 | test_corr=(0.575, 0.241)
Epoch 99/1000 | time=1.385s | train_loss=1.1748 | train_corr=(0.581, 0.238) | val_loss=1.1834 | val_corr=(0.578, 0.241) | test_loss=1.1808 | test_corr=(0.577, 0.242)
Epoch 100/1000 | time=1.4s | train_loss=1.1938 | train_corr=(0.567, 0.226) | val_loss=1.1988 | val_corr=(0.578, 0.24) | test_loss=1.1966 | test_corr=(0.577, 0.241)
Epoch 101/1000 | time=1.385s | train_loss=1.1885 | train_corr=(0.58, 0.246) | val_loss=1.172 | val_corr=(0.576, 0.241) | test_loss=1.1694 | test_corr=(0.576, 0.242)
Epoch 102/1000 | time=1.384s | train_loss=1.192 | train_corr=(0.559, 0.234) | val_loss=1.1818 | val_corr=(0.576, 0.242) | test_loss=1.1792 | test_corr=(0.575, 0.243)
Epoch 103/1000 | time=1.408s | train_loss=1.2085 | train_corr=(0.578, 0.241) | val_loss=1.1936 | val_corr=(0.576, 0.241) | test_loss=1.191 | test_corr=(0.575, 0.241)
Epoch 104/1000 | time=1.393s | train_loss=1.1528 | train_corr=(0.583, 0.251) | val_loss=1.1645 | val_corr=(0.577, 0.241) | test_loss=1.1617 | test_corr=(0.576, 0.243)
Epoch 105/1000 | time=1.4s | train_loss=1.2041 | train_corr=(0.583, 0.248) | val_loss=1.1939 | val_corr=(0.577, 0.239) | test_loss=1.1914 | test_corr=(0.576, 0.241)
Epoch 106/1000 | time=1.395s | train_loss=1.189 | train_corr=(0.586, 0.253) | val_loss=1.2013 | val_corr=(0.575, 0.241) | test_loss=1.1986 | test_corr=(0.575, 0.242)
Epoch 107/1000 | time=1.388s | train_loss=1.1899 | train_corr=(0.568, 0.234) | val_loss=1.1903 | val_corr=(0.576, 0.242) | test_loss=1.1877 | test_corr=(0.575, 0.243)
Epoch 108/1000 | time=1.389s | train_loss=1.1583 | train_corr=(0.589, 0.254) | val_loss=1.1767 | val_corr=(0.578, 0.242) | test_loss=1.174 | test_corr=(0.578, 0.243)
